MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
13.4,22.9,0.6,W,44,WNW,20,24,71,22,1007.7,1007.1,16.9,21.8,No,0
7.4,25.1,0,WNW,44,WSW,4,22,44,25,1010.6,1007.8,17.2,24.3,No,0
12.9,25.7,0,WSW,46,WSW,19,26,38,30,1007.6,1008.7,21,23.2,No,0
9.2,28,0,NE,24,E,11,9,45,16,1017.6,1012.8,18.1,26.5,No,0
17.5,32.3,1,W,41,NW,7,20,82,33,1010.8,1006,17.8,29.7,No,0
14.6,29.7,0.2,WNW,56,W,19,24,55,23,1009.2,1005.4,20.6,28.9,No,0
14.3,25,0,W,50,W,20,24,49,19,1009.6,1008.2,18.1,24.6,No,0
7.7,26.7,0,W,35,W,6,17,48,19,1013.4,1010.1,16.3,25.5,No,0
9.7,31.9,0,NNW,80,NW,7,28,42,9,1008.9,1003.6,18.3,30.2,No,1
13.1,30.1,1.4,W,28,SSE,15,11,58,27,1007,1005.7,20.1,28.2,Yes,0
13.4,30.4,0,N,30,ESE,17,6,48,22,1011.8,1008.7,20.4,28.8,No,1
15.9,21.7,2.2,NNE,31,ENE,15,13,89,91,1010.5,1004.2,15.9,17,Yes,1
15.9,18.6,15.6,W,61,NNW,28,28,76,93,994.3,993,17.4,15.8,Yes,1
12.6,21,3.6,SW,44,SSW,24,20,65,43,1001.2,1001.8,15.8,19.8,Yes,0
9.8,27.7,NA,WNW,50,WNW,NA,22,50,28,1013.4,1010.3,17.3,26.2,NA,0
14.1,20.9,0,ENE,22,E,11,9,69,82,1012.2,1010.4,17.2,18.1,No,1
13.5,22.9,16.8,W,63,WNW,6,20,80,65,1005.8,1002.2,18,21.5,Yes,1
11.2,22.5,10.6,SSE,43,SW,24,17,47,32,1009.4,1009.7,15.5,21,Yes,0
9.8,25.6,0,SSE,26,NNW,17,6,45,26,1019.2,1017.1,15.8,23.2,No,0
11.5,29.3,0,S,24,SE,9,9,56,28,1019.3,1014.8,19.1,27.3,No,0
17.1,33,0,NE,43,N,17,22,38,28,1013.6,1008.1,24.5,31.6,No,0
20.5,31.8,0,WNW,41,W,19,20,54,24,1007.8,1005.7,23.8,30.8,No,0
15.3,30.9,0,N,33,NW,6,13,55,23,1011,1008.2,20.9,29,No,0
12.6,32.4,0,W,43,W,4,19,49,17,1012.9,1010.1,21.5,31.2,No,0
16.2,33.9,0,WSW,35,WSW,9,13,45,19,1010.9,1007.6,23.2,33,No,0
16.9,33,0,WSW,57,W,0,26,41,28,1006.8,1003.6,26.6,31.2,No,0
20.1,32.7,0,WNW,48,WNW,13,30,56,15,1005.2,1001.7,24.6,32.1,No,0
19.7,27.2,0,WNW,46,WSW,19,30,49,22,1004.8,1004.2,21.6,26.1,No,1
12.5,24.2,1.2,WNW,50,SW,11,22,78,70,1005.6,1003.4,12.5,18.2,Yes,0
12,24.4,0.8,W,39,WNW,17,17,48,28,1006.1,1005.1,16.9,22.7,No,0
11.3,26.5,0,WNW,56,WNW,19,31,46,26,1004.5,1003.2,19.7,25.7,No,0
9.6,23.9,0,W,41,SSW,19,11,44,22,1014.4,1013.1,14.9,22.1,No,0
10.5,28.8,0,SSE,26,E,11,7,43,22,1018.7,1014.8,17.1,26.5,No,0
12.3,34.6,0,WNW,37,NW,6,17,41,12,1015.1,1010.3,20.7,33.9,No,0
12.9,35.8,0,WNW,41,NW,6,26,41,9,1012.6,1009.2,22.4,34.4,No,0
13.7,37.9,0,W,52,WNW,4,26,33,8,1010.9,1006.7,23.1,36.8,No,0
16.1,38.9,0,W,57,W,6,30,34,12,1007,1002.7,25.2,38.4,No,0
14,28.3,0,W,48,WSW,17,24,43,15,1011.9,1010.9,17.9,27.6,No,0
12.5,28.4,0,NE,37,S,20,9,38,16,1017.8,1013.7,17.2,26.6,No,0
17,30.8,0,NE,37,E,15,11,36,24,1013.4,1008.1,20.2,29.3,No,0
16.9,32,0,S,31,N,13,17,52,31,1009.9,1006.8,22.8,30,No,0
17.3,34.7,0,SW,35,WSW,7,15,48,16,1014.1,1012.1,24.2,33.2,No,0
17.2,37.7,0,NNW,35,NW,7,17,51,19,1015.7,1010.9,24.3,35.7,No,0
17.4,43,0,NW,39,SSW,7,17,40,8,1011.6,1006.9,25.6,41.5,No,0
19.8,32.7,0,WNW,44,W,20,28,34,28,1008.4,1009.2,27.6,27.1,No,0
14.9,26.7,0,SW,56,SW,20,31,46,20,1014.1,1012.7,18,25.5,No,0
10.5,28.4,0,SE,33,SW,19,11,35,16,1019.7,1017.4,16,25.8,No,0
